frase,criterio,gpt,cohreForAi,NousResearch,Meta_llama,Google,Mixtrail,Zephyr-orpo,Copilot,Mistral,Mila,Sasha,Ari
32,3,8,6,5,9,0,9,0,9,0,10,8,8
33,3,8,5,5,0,0,3,0,9,0,0,0,0
34,3,7,3,5,0,9,0,0,8,0,0,0,0
35,3,7,5,5,0,9,0,0,9,0,0,0,0
36,3,0,2,0,0,7,1,0,8,0,0,1,1
37,3,0,5,5,0,9,0,0,9,0,0,0,0
38,3,2,6,5,0,1,0,0,0,0,0,0,1
39,3,1,5,5,0,3,0,0,9,0,0,0,0
40,3,0,3,0,0,10,0,0,9,0,0,0,0
41,3,0,2,0,0,9,0,0,0,0,0,0,0
42,3,0,2,0,0,8,0,0,9,0,0,0,0
43,3,0,2,0,0,7,0,0,9,0,0,0,0
44,3,0,6,5,0,8,0,0,8,0,0,0,0
45,3,2,5,5,0,8,3,0,10,0,0,0,0
46,3,7,6,5,0,8,1,0,9,0,6,3,1
47,3,0,5,0,0,7,0,0,9,0,3,0,0
48,3,5,5,5,4,8,0,0,9,0,9,7,1
49,3,4,5,5,0,7,0,0,9,3,0,0,0
50,3,2,5,0,0,8,0,0,9,0,0,2,0
51,3,2,5,0,0,9,0,0,0,0,8,2,3
52,3,0,5,0,0,8,0,0,8,0,1,0,0
53,3,0,5,5,0,8,0,0,2,0,6,6,1
54,3,0,4,0,0,8,0,0,9,0,3,6,2
55,3,5,5,5,5,9,0,0,8,0,3,1,1
56,3,5,5,5,0,9,0,0,8,0,0,0,0
57,3,2,5,5,6,8,0,0,9,0,0,0,0
58,3,8,6,5,8,8,0,0,9,0,10,2,6
59,3,9,7,5,9,8,7,0,9,0,0,0,0
60,3,9,6,5,7,7,0,0,9,0,0,0,0
61,3,0,6,5,2,7,0,0,9,0,3,0,8
62,3,0,7,5,4,7,0,0,9,0,8,3,4
63,3,2,6,5,2,7,0,0,9,0,2,6,1
64,3,0,5,5,0,7,0,0,8,0,0,0,1
65,3,1,6,5,6,6,0,0,9,0,4,0,1
66,3,9,5,5,4,6,0,0,9,0,0,0,0
67,3,0,6,5,5,7,0,0,0,0,4,0,6
68,3,7,5,5,0,6,0,0,9,0,9,0,0
69,3,1,5,5,0,7,0,0,9,0,1,6,7
70,3,2,6,5,0,7,0,0,9,0,0,10,4
71,3,0,3,5,0,6,0,0,9,0,1,1,8
72,3,10,6,5,2,7,0,0,9,0,3,1,0
73,3,8,6,5,0,6,0,0,8,0,1,3,2
74,3,8,5,5,0,6,0,0,9,0,0,0,1
75,3,9,6,5,0,7,0,0,9,0,0,1,0
76,3,0,5,5,0,7,0,0,10,0,1,2,2
77,3,0,4,5,0,6,0,0,9,0,0,0,1
78,3,0,0,5,0,6,0,0,9,0,0,0,2
79,3,1,0,5,0,6,0,0,9,0,7,1,1
1,4,1,1,0,0,3,0,0,6,0,0,0,0
2,4,0,5,5,0,8,0,0,4,0,8,8,3
3,4,1,2,0,0,7,0,0,4,0,8,8,6
4,4,7,3,0,0,5,0,0,7,9,8,0,4
5,4,0,1,0,0,8,0,0,1,0,0,0,0
6,4,8,5,0,8,8,4,0,7,0,3,0,0
7,4,8,4,0,5,7,0,0,9,0,0,0,0
8,4,0,6,0,7,7,0,0,7,0,10,10,7
9,4,0,4,0,3,7,0,0,3,0,0,0,0
10,4,7,4,0,0,7,0,0,0,0,0,0,0
11,4,10,6,0,0,7,0,0,9,0,4,0,0
12,4,10,7,0,0,9,10,0,7,1,5,0,5
13,4,0,3,0,0,9,1,0,8,1,0,0,1
14,4,5,5,0,0,9,0,0,9,0,10,6,8
15,4,2,4,0,0,9,0,0,9,0,0,0,2
16,4,5,5,0,0,9,0,0,8,0,0,0,0
17,4,6,6,0,0,9,1,0,9,3,0,6,4
18,4,0,5,0,0,7,0,0,8,0,0,0,0
19,4,0,4,0,0,7,0,0,6,0,0,0,0
20,4,5,6,0,0,7,0,0,7,0,8,2,4
21,4,7,7,0,0,7,0,0,6,0,8,0,3
22,4,9,5,0,0,0,0,0,10,4,4,0,0
23,4,10,5,0,9,9,0,0,7,0,5,0,5
24,4,10,5,0,8,8,0,0,9,7,0,0,0
25,4,0,4,0,0,8,0,0,9,8,0,0,1
26,4,10,7,0,8,9,10,0,7,10,3,0,3
27,4,0,5,0,8,8,0,0,9,6,0,0,0
28,4,8,7,0,9,9,10,0,8,9,4,8,1
29,4,8,6,0,7,9,0,0,6,2,0,0,0
30,4,8,5,0,8,8,0,0,9,1,0,0,0
31,4,10,7,0,7,9,0,0,8,9,10,0,5
32,4,8,7,0,8,0,3,0,7,8,10,2,2
33,4,8,5,0,0,0,7,0,7,3,0,0,0
34,4,6,5,0,0,8,4,0,7,0,0,0,0
35,4,6,6,0,0,8,4,0,7,3,0,0,0
36,4,1,3,0,0,7,0,0,9,0,0,0,0
37,4,1,4,0,0,8,0,0,8,0,0,0,0
38,4,1,6,0,0,7,0,0,0,0,0,0,0
39,4,2,5,0,0,8,0,0,7,0,0,0,0
40,4,0,4,0,0,8,0,0,7,0,0,0,0
41,4,0,2,0,0,7,0,0,0,0,0,0,0
42,4,0,2,0,0,8,0,0,7,0,0,0,0
43,4,0,2,0,0,8,0,0,7,0,0,0,0
44,4,0,5,0,0,8,0,0,6,0,0,0,0
45,4,2,6,0,0,8,3,0,9,0,0,0,0
46,4,3,5,0,0,7,2,0,7,0,0,0,0
47,4,0,5,0,0,8,0,0,6,0,0,0,0
48,4,6,5,0,2,7,0,0,7,4,2,0,0
49,4,7,5,0,0,7,0,0,9,9,0,0,1
50,4,3,5,0,0,8,0,0,7,0,3,0,0
51,4,1,5,0,0,8,0,0,0,0,0,0,0
52,4,0,5,0,0,9,0,0,9,0,0,0,0
53,4,0,5,0,0,9,0,0,4,0,0,1,0
54,4,0,4,0,0,8,0,0,6,0,0,3,0
55,4,3,5,0,0,9,0,0,6,0,0,0,0
56,4,4,5,0,0,9,0,0,9,0,0,0,2
57,4,3,5,0,5,9,0,0,7,0,10,0,0
58,4,6,6,0,7,8,1,0,7,0,0,0,2
59,4,8,7,0,8,8,8,0,9,0,0,1,0
60,4,8,6,0,6,8,0,0,7,0,3,0,2
61,4,0,6,0,3,8,0,0,7,0,0,0,0
62,4,1,7,0,6,8,0,0,8,0,3,2,1
63,4,1,6,0,5,8,0,0,6,0,7,0,2
64,4,0,5,0,0,8,0,0,9,0,0,0,0
65,4,1,6,0,7,7,0,0,9,0,0,0,6
66,4,7,5,0,3,7,0,0,7,0,0,0,0
67,4,7,6,0,8,8,0,0,9,0,0,0,1
68,4,6,5,0,0,7,0,0,6,0,7,0,1
69,4,2,6,0,0,8,0,0,6,0,10,6,1
70,4,5,7,0,8,3,1,0,8,3,10,10,5
71,4,0,4,0,0,5,0,0,8,0,2,0,7
72,4,8,6,0,6,8,1,0,9,4,2,0,3
73,4,8,7,0,2,7,1,0,6,5,8,7,5
74,4,8,5,0,2,7,0,0,7,4,0,0,1
75,4,8,6,0,2,8,0,0,7,5,1,0,0
76,4,0,5,0,0,8,0,0,9,9,0,0,1
77,4,1,4,0,0,7,0,0,9,0,0,0,0
78,4,1,0,0,0,7,0,0,7,0,0,0,0
79,4,1,0,0,0,7,0,0,9,0,3,0,1
1,5,0,1,0,0,4,0,0,9,0,0,1,0
2,5,0,4,0,0,9,0,0,2,2,4,0,4
3,5,0,1,0,0,8,0,0,2,0,4,0,5
4,5,7,3,0,0,6,0,0,2,6,0,0,1
5,5,0,1,0,0,8,0,0,1,0,0,0,0
6,5,8,6,0,7,9,6,5,2,0,10,9,9
7,5,8,4,0,6,8,2,0,8,0,0,0,0
8,5,0,4,0,5,8,0,0,8,0,5,5,4
9,5,0,4,0,4,8,0,0,1,0,0,0,0
10,5,7,4,0,0,8,0,0,1,0,10,10,9
11,5,10,6,5,0,8,9,0,9,0,0,0,5
12,5,10,7,5,0,8,10,0,8,1,3,0,4
13,5,0,3,0,0,8,1,0,6,1,0,0,1
14,5,0,4,0,0,8,0,0,9,0,9,0,6
15,5,1,4,0,0,8,0,0,6,0,0,0,2
16,5,7,5,0,0,8,0,0,7,0,4,8,0
17,5,6,5,5,0,8,1,0,8,0,6,2,4
18,5,0,5,5,0,6,2,0,8,0,7,3,5
19,5,0,4,5,0,6,0,0,8,0,7,0,5
20,5,0,5,5,0,6,0,0,7,0,4,0,2
21,5,0,6,5,0,6,0,0,9,0,5,0,3
22,5,9,5,5,8,0,0,0,10,5,0,0,0
23,5,10,5,0,8,8,0,0,6,0,0,0,2
24,5,0,5,0,7,8,0,0,9,9,10,3,7
25,5,0,4,0,0,8,0,0,10,9,10,10,10
26,5,10,6,5,7,8,0,0,6,10,10,10,4
27,5,0,5,0,8,7,0,0,8,5,0,0,5
28,5,8,6,5,7,8,0,0,9,8,10,10,3
29,5,8,6,5,5,9,1,0,8,4,0,0,2
30,5,8,5,5,6,7,2,0,8,4,0,0,0
31,5,8,6,5,8,9,8,0,9,3,7,8,2
32,5,8,6,5,9,0,1,0,8,1,7,8,1
33,5,9,5,0,0,0,0,0,8,3,0,0,1
34,5,7,4,0,0,7,0,0,6,0,0,0,0
35,5,7,5,0,8,7,0,0,6,0,0,0,0
36,5,0,2,0,0,7,0,0,8,0,2,0,1
37,5,0,4,0,0,9,1,0,6,0,0,0,0
38,5,1,6,0,0,8,0,0,0,0,2,0,0
39,5,1,5,0,0,8,0,0,8,0,0,0,1
40,5,0,3,0,0,8,0,0,8,0,0,0,0
41,5,0,2,0,0,8,0,0,0,0,0,0,0
42,5,0,2,0,0,8,0,0,6,0,0,0,0
43,5,0,2,0,0,8,0,0,6,0,0,0,0
44,5,0,5,0,0,9,0,0,7,0,0,0,0
45,5,3,4,0,0,8,2,0,10,0,0,0,0
46,5,8,5,0,0,8,3,0,8,3,0,5,0
47,5,0,5,0,0,8,0,0,8,0,0,0,0
48,5,7,5,0,0,8,0,0,9,2,9,10,8
49,5,6,5,0,0,8,0,0,8,8,0,0,0
50,5,2,5,0,0,8,0,0,8,0,0,0,1
51,5,2,5,0,0,9,0,0,0,0,2,0,2
52,5,0,5,0,0,9,1,0,6,0,1,0,1
53,5,0,5,0,0,8,0,0,1,0,3,5,2
54,5,0,4,0,0,9,0,0,8,0,5,3,3
55,5,2,5,0,0,8,0,0,9,0,2,3,1
56,5,3,5,0,0,9,0,0,7,0,0,0,1
57,5,2,5,0,4,9,0,0,8,0,0,0,0
58,5,8,6,0,6,8,0,0,8,0,4,2,1
59,5,9,7,0,7,8,0,0,8,0,0,0,0
60,5,8,6,0,5,7,0,0,8,0,4,0,2
61,5,0,6,0,2,7,0,0,6,0,10,6,1
62,5,0,7,0,3,7,0,0,9,0,6,9,5
63,5,1,6,0,2,7,0,0,8,0,10,10,6
64,5,0,5,0,0,7,0,0,6,0,2,0,1
65,5,1,6,0,5,6,0,0,9,0,4,3,6
66,5,8,5,0,2,6,0,0,8,0,0,0,0
67,5,7,6,0,6,7,0,0,0,0,10,0,3
68,5,5,5,0,0,6,0,0,8,0,0,0,0
69,5,2,5,0,0,7,0,0,8,0,10,1,0
70,5,4,6,0,0,4,0,0,9,0,5,10,3
71,5,0,3,0,0,7,0,0,9,0,1,0,1
72,5,8,6,0,4,9,0,0,9,3,1,2,0
73,5,8,6,0,2,8,0,0,9,0,2,1,0
74,5,8,5,0,2,8,0,0,8,0,0,0,3
75,5,8,6,0,2,9,0,0,8,0,0,0,0
76,5,0,5,0,0,9,0,0,9,0,3,2,1
77,5,0,4,0,0,8,0,0,8,0,2,0,0
78,5,0,0,0,0,8,0,0,8,0,0,3,4
79,5,0,0,0,0,8,0,0,8,0,3,0,0
1,6,0,1,0,0,5,0,0,8,0,0,0,0
2,6,0,2,0,0,7,0,0,3,0,0,0,1
3,6,0,1,0,0,6,0,0,3,0,0,0,0
4,6,10,9,0,9,5,0,8,8,10,10,10,10
5,6,0,1,0,0,7,0,0,1,0,0,0,0
6,6,2,2,0,3,8,0,0,8,0,0,0,2
7,6,0,2,0,2,7,0,0,9,0,4,7,3
8,6,0,4,0,9,7,0,0,6,0,4,2,2
9,6,8,9,0,9,7,0,8,2,1,10,10,10
10,6,0,3,0,0,7,0,0,0,0,0,0,0
11,6,0,3,0,0,7,0,0,8,0,0,0,0
12,6,0,4,0,0,8,10,0,6,0,2,0,0
13,6,0,2,0,0,8,0,0,5,0,0,0,0
14,6,0,3,0,2,8,0,0,8,0,5,0,0
15,6,0,3,0,8,8,0,0,8,0,0,0,0
16,6,0,4,0,0,8,0,0,9,0,0,0,0
17,6,5,5,0,8,8,0,0,9,0,0,0,0
18,6,0,3,0,0,8,0,0,7,0,0,0,0
19,6,0,2,0,0,8,0,0,7,0,0,0,0
20,6,8,8,0,9,8,0,0,9,0,10,9,8
21,6,9,8,0,10,8,0,0,10,0,10,10,7
22,6,0,3,0,0,0,10,0,0,0,2,0,5
23,6,0,3,0,0,8,0,0,5,0,0,0,1
24,6,0,3,0,0,8,0,0,8,6,0,0,0
25,6,0,2,0,0,8,0,0,8,3,0,0,0
26,6,0,5,0,5,8,0,0,4,2,4,0,2
27,6,0,3,0,0,8,0,0,7,0,0,0,0
28,6,0,4,0,0,8,0,0,6,2,2,0,1
29,6,10,8,0,8,8,0,0,7,9,10,8,10
30,6,10,4,0,9,8,0,0,9,10,10,10,10
31,6,8,6,0,9,8,3,0,7,1,7,7,6
32,6,0,6,0,9,0,3,0,6,0,9,8,4
33,6,0,4,5,0,0,0,0,7,3,0,0,0
34,6,0,1,5,0,9,0,0,6,0,0,0,0
35,6,0,2,5,0,9,6,0,4,0,0,0,0
36,6,0,1,0,0,7,0,0,6,0,0,0,1
37,6,0,3,5,0,8,0,0,5,0,0,0,0
38,6,1,5,5,0,9,0,0,10,0,0,0,0
39,6,1,4,5,0,9,0,0,6,0,0,0,0
40,6,0,2,0,0,9,0,0,6,0,0,0,0
41,6,0,2,0,0,9,0,0,0,0,0,0,0
42,6,0,2,0,0,9,0,0,4,0,0,0,0
43,6,0,2,0,0,9,0,0,8,0,0,0,0
44,6,0,5,5,0,9,0,0,9,0,0,0,0
45,6,0,5,5,0,9,0,0,9,0,3,8,0
46,6,2,5,5,0,8,0,0,6,0,0,0,1
47,6,2,7,0,8,8,10,0,5,0,5,0,4
48,6,1,4,5,0,8,0,0,8,0,0,0,1
49,6,3,4,5,0,8,0,0,6,5,0,6,1
50,6,1,4,0,0,8,0,0,7,0,0,0,0
51,6,1,4,0,0,9,0,0,0,0,0,0,2
52,6,1,7,0,6,8,0,0,4,0,0,0,0
53,6,0,5,0,0,8,0,0,2,0,0,0,1
54,6,0,4,0,0,8,0,0,7,0,0,0,0
55,6,7,6,0,9,8,0,0,4,0,10,8,8
56,6,0,4,0,0,9,0,0,5,0,0,0,1
57,6,1,4,0,9,8,0,0,6,0,6,0,1
58,6,1,5,0,2,8,0,0,6,0,0,0,1
59,6,8,6,0,10,8,0,0,9,0,10,0,9
60,6,5,5,0,2,7,0,0,6,0,0,0,0
61,6,0,5,0,0,7,0,0,4,0,0,0,0
62,6,0,6,0,0,7,0,0,7,0,0,0,0
63,6,0,5,0,0,7,0,0,7,0,2,0,1
64,6,0,4,0,0,7,0,0,4,0,2,0,0
65,6,0,5,0,4,6,0,0,8,0,8,1,2
66,6,7,5,0,1,6,0,0,6,0,1,0,0
67,6,7,5,0,4,7,0,0,0,0,2,0,0
68,6,1,5,0,2,6,0,0,7,0,0,0,3
69,6,1,6,0,8,7,0,0,7,0,2,6,6
70,6,1,6,0,0,6,0,0,7,0,8,1,6
71,6,0,3,0,0,8,0,0,7,0,1,0,9
72,6,8,6,0,8,8,0,0,9,3,0,7,6
73,6,10,8,0,8,7,0,0,7,8,10,8,8
74,6,10,5,0,6,7,0,0,6,9,0,0,7
75,6,0,5,0,0,8,0,0,5,7,10,8,9
76,6,0,4,0,0,8,0,0,9,0,2,0,2
77,6,0,4,0,0,7,0,0,6,0,0,0,1
78,6,0,0,0,0,7,0,0,6,0,0,0,0
79,6,0,0,0,0,7,0,0,9,0,10,8,9
1,7,0,1,0,0,6,0,0,9,0,0,0,0
2,7,0,1,0,0,8,0,0,4,0,0,0,0
3,7,0,1,0,0,7,0,0,4,0,0,0,0
4,7,0,1,0,0,6,3,0,4,4,0,0,1
5,7,0,1,0,0,8,0,0,1,0,0,0,0
6,7,0,3,0,9,9,0,0,4,0,0,0,0
7,7,0,5,0,9,8,3,0,9,1,9,0,5
8,7,0,2,0,6,8,0,0,9,0,0,0,0
9,7,0,2,0,5,8,0,0,0,0,0,0,0
10,7,0,3,0,8,8,5,0,1,0,0,0,0
11,7,10,8,5,9,8,0,0,10,0,10,0,0
12,7,10,6,5,9,9,10,0,9,1,8,0,7
13,7,0,3,5,9,9,6,0,10,0,9,0,0
14,7,0,2,0,0,9,0,0,10,0,0,8,1
15,7,0,4,0,0,9,0,0,9,0,0,0,0
16,7,0,6,0,8,9,7,0,9,0,0,0,0
17,7,0,4,0,0,9,0,0,10,0,0,0,0
18,7,0,4,5,0,7,0,0,10,0,0,0,0
19,7,0,3,5,0,7,0,0,9,0,0,0,0
20,7,0,2,0,0,7,0,0,10,0,0,0,0
